Province,Hospital Name,Class,Room,Available Beds,Last Update
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Karim,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang As-Salam,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Malik,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Gafur,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Muid,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Muqtadir,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Ar-Rahim,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Aziz,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Syahid,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Malikul Mulk,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Wahab,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Ar-Rahman,0,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Quddus,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Mukmin,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Wakil,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas I,Ruang Al-Khafid,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Tawab,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Muid,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Ahad,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Jabbar,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Qaiyun,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Jami,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Mutakabir,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Majiid,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang As-Syakur,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Wali,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Hamid,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas II,Ruang Al-Mujib,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Musi,3,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Hakim,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Muhaimin,3,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang An-Nur,3,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Hasiib,1,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang An-Nafii,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Qobid,3,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Qarim,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Zahir,4,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Wasii,4,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Razaq,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Mumit,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang As-Samat,2,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Akhir,3,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Haadi,3,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Jiwa,3,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang Al-Qayyum,0,diupdate 6 jam yang lalu
ACEH,RS Umum Daerah Simeulue,Kelas III,Ruang An-Khabiir,2,diupdate 6 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang SAFA,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JAMRAH,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JABAL UHUD,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JEDDAH,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JABAL NUR,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas II,Ruang RW,2,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas II,Ruang MADINAH,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang JABAL TSUR,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang HAJAR ASWAD,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang Paviliun Mekah 3 C,1,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang Paviliun Mekah 3 D,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang AS SYIFA,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang MULTAZAM,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang JABAL GHAFUR,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang MARWAH,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang JABAL RAHMAH,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang AR RAHMAN,0,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang RP,2,diupdate 4 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang Paviliun Mekkah 3 E,0,diupdate 4 jam yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas I,Ruang Meranti,0,diupdate 2 jam yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas I,Ruang Mahoni,4,diupdate 40 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas II,Ruang CEMPAKA,2,diupdate 40 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas II,Ruang Damar,3,diupdate 40 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas III,Ruang Cemara,10,diupdate 40 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas III,Ruang Kemuning,6,diupdate 2 jam yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 AJWA 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 ARAFAH 3,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 4,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 THURSINA 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 ARAFAH 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 ARAFAH 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 MINA 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 3,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 STROKE,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 AQSA 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 MINA 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 5,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 THURSINA 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 RAUDHAH 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 ARAFAH 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 INTERMEDIATE I,1,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 RAUDHAH 5,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 NABAWI,1,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 SHAFA,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 AQSA 3,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 ARAFAH 3,3,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 RAUDHAH 4,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 MINA 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 RAUDHAH 7,2,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 3 RAUDHAH 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 AQSA 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 RAUDHAH 3,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 ARAFAH 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 MINA 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 RAUDHAH 6,2,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 RAUDHAH 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas II,Ruang KLS 2 THURSINA 3,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 INTERMEDIATE 1,4,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 NABAWI,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 RAUDHAH 4,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 RAUDHAH 7,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang BERSALIN,9,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 AQSA 3,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 THURSINA 2,2,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 ARAFAH 3,1,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 MINA 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 RAUDHAH 3,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 RAUDHAH 6,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 AQSA 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 THURSINA 1,1,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 ARAFAH 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 MINA 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 RAUDHAH 2,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 RAUDHAH 5,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 SHAFA,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang INTERMEDIATE WARD IGD,13,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 ARAFAH 1,0,diupdate 11 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas III,Ruang KLS 3 THURSINA 3,0,diupdate 11 menit yang lalu
ACEH,RS Ibu dan Anak Pemerintah Aceh,Kelas I,Ruang Ruang Rawat Cut Meutia,3,diupdate 7 menit yang lalu
ACEH,RS Ibu dan Anak Pemerintah Aceh,Kelas II,Ruang Ruang Rawat Dewasa,1,diupdate 7 menit yang lalu
ACEH,RS Ibu dan Anak Pemerintah Aceh,Kelas II,Ruang Ruang Rawat Anak,9,diupdate 7 menit yang lalu
ACEH,RS Ibu dan Anak Pemerintah Aceh,Kelas II,Ruang Ruang Rawat Kebidanan,6,diupdate 7 menit yang lalu
ACEH,RS Ibu dan Anak Pemerintah Aceh,Kelas III,Ruang Ruang Rawat Dewasa,0,diupdate 7 menit yang lalu
ACEH,RS Ibu dan Anak Pemerintah Aceh,Kelas III,Ruang Ruang Rawat Anak,7,diupdate 7 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Tarutung,Kelas II,Ruang MAWAR,7,diupdate 3 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Tarutung,Kelas II,Ruang DAHLIA,4,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Tarutung,Kelas II,Ruang KEBIDANAN,2,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Tarutung,Kelas III,Ruang KEBIDANAN,3,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Tarutung,Kelas III,Ruang FLAMBOYAN,8,diupdate 2 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas I,Ruang Rose,2,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas I,Ruang Aster,0,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas I,Ruang Anggrek,1,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas I,Ruang TULIP,2,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas I,Ruang Flamboyan,0,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas I,Ruang Bonsay,2,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas II,Ruang Mawar,2,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas II,Ruang Melati,0,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas II,Ruang Kamboja,1,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Porsea,Kelas II,Ruang Teratai,1,diupdate 39 menit yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas I,Ruang ANGGREK 2,1,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas I,Ruang ANGGREK 6,1,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas I,Ruang ANGGREK 5,0,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas I,Ruang ANGGREK 3,1,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas II,Ruang ANGGREK 1,0,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas II,Ruang ANGGREK 9,2,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas II,Ruang ANGGREK 8,2,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas II,Ruang ANGGREK 7,2,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas II,Ruang ANGGREK 10,2,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas III,Ruang BONSAI LAKI-LAKI (A),2,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas III,Ruang BONSAI PEREMPUAN,0,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas III,Ruang ASTER (infeksius),3,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas III,Ruang BONSAI ANAK,6,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas III,Ruang ANGREK  4,2,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas III,Ruang BONSAI LAKI-LAKI (B),2,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Daerah Parapat,Kelas III,"Ruang DAHLIA 7 , (DAhlia box bayi )",0,diupdate 7 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang TULIP 209,0,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang SERUNI 308,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang SERUNI 316,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang SERUNI 307,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang SERUNI 312,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang SERUNI 303,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang TULIP 204,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang SERUNI 306,0,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas I,Ruang TULIP 203,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas II,Ruang CEMPAKA 309,2,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas II,Ruang FLAMBOYAN 310,2,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas II,Ruang MAWAR 207,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas II,Ruang SAKURA 206,1,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas II,Ruang CAMELIA 302,2,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas II,Ruang MELATI 205,2,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas II,Ruang RUANG 311,0,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas III,Ruang DAHLIA 210,3,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas III,Ruang KAMBOJA 314,3,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas III,Ruang KAMBOJA 315,3,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas III,Ruang ASTER 313,4,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Karya Husada,Kelas III,Ruang KEMUNING 211,3,diupdate 1 jam yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PELALAWAN 304,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 334,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 337,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 340,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 343,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PELALAWAN 303,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PELALAWAN 310,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 336,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 339,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 342,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PELALAWAN 301,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PELALAWAN 309,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 335,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 338,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 341,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang KERINCI 216,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas I,Ruang PURWAKARTA 344,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas II,Ruang PELALAWAN 306,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas II,Ruang PELALAWAN 305,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas II,Ruang PURWAKARTA 345,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas II,Ruang PELALAWAN 302,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas II,Ruang PELALAWAN 307,3,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang KERINCI 220,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang RAYA 101,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang KERINCI 223,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang RAYA 104,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang KERINCI 218,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang RAYA 107,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang SIANTAR 201,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang KERINCI 219,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang KERINCI 222,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang RAYA 103,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang SIANTAR 207,1,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang RAYA 106,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang SIANTAR 210,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang KERINCI 217,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang KERINCI 221,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang RAYA 102,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang SIANTAR 211,2,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang RAYA 105,0,diupdate kurang dari 1 menit yang lalu
SUMATERA UTARA,RS Umum Efarina Etaham,Kelas III,Ruang SIANTAR 206,3,diupdate kurang dari 1 menit yang lalu
